"",E Week27,"Cumulative first27Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,1,22,7,7
Acute Hepatitis E,2,2,1,33,14,25
Campylobacteriosis,11,10,12,228,424,258
Cholera,0,0,0,0,7,1
Paratyphoid,0,0,0,7,5,7
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,19,23,32,641,747,833
Typhoid,3,0,0,34,39,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,5,8,8
Dengue Fever,235,1164,591,4580,19325,6656
Dengue Haemorrhagic Fever,0,0,2,2,29,29
Japanese Encephalitis,0,0,0,0,0,4
Leptospirosis,1,1,0,33,23,16
Malaria,0,0,1,7,7,8
Murine Typhus,0,0,0,6,5,4
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,22,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,0,0,0,10,11,9
Measles,0,0,0,6,1,10
Melioidosis,1,0,1,21,15,16
Meningococcal Disease,0,0,0,1,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,3,NA,6,4,NA
Mumps,9,5,6,96,68,155
Pertussis,0,0,0,10,0,11
Pneumococcal Disease (invasive),2,1,1,69,21,34
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,0,0,1,20,16,21
Acute hepatitis C,0,0,0,9,11,10
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,2211,2910,2910,,,
Acute conjunctivitis,63,36,48,,,
Acute Diarrhoea,403,382,382,,,
Chickenpox,5,3,3,,,
"Hand, Foot And Mouth Disease",21,23,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,JUNE,,Cumulative 2023,,
HIV/AIDS,10,,104,,,
Legally Notifiable STIs,307,,1934,,,
Tuberculosis,100,,607,,,
