"",E Week3,"Cumulative first3Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,2018 -2022,2018 -2022,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,0,1,3,1,3
Acute Hepatitis E,2,0,1,6,3,2
Campylobacteriosis,7,2,10,24,2,32
Cholera,0,0,0,0,0,0
Paratyphoid,1,0,0,3,0,1
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,39,0,26,70,0,73
Typhoid,2,2,2,6,4,4
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,1,0,0
Dengue Fever,273,178,178,832,430,510
Dengue Haemorrhagic Fever,1,2,2,1,2,2
Japanese Encephalitis^,0,0,0,0,0,1
Leptospirosis^,2,1,0,6,2,1
Malaria,0,0,0,0,0,3
Murine Typhus^,1,0,0,1,0,1
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,1,0,0,2,0
Measles,0,0,2,2,0,3
Melioidosis,1,1,2,1,2,3
Meningococcal Disease,0,0,0,0,0,0
Monkeypox,0,0,NA,2,0,NA
Mumps,3,2,7,11,3,25
Pertussis,1,0,0,2,0,2
Pneumococcal Disease (invasive),2,1,2,7,3,5
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,0,1,1,0,1,2
Acute hepatitis C,0,0,0,0,3,1
Botulism^,0,0,0,0,2,0
MERS-CoV,,,,,,
Suspect cases tested,8,0,NA,36,0,NA
Other patients tested,2,0,NA,15,0,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,2405,1567,3391,,,
Acute conjunctivitis,63,44,96,,,
Acute Diarrhoea,382,316,583,,,
Chickenpox,3,2,13,,,
"Hand, Foot And Mouth Disease",15,9,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2022,Dec,,Cumulative 2022,,
HIV/AIDS,15,,189,,,
Legally Notifiable STIs*,299,,3822,,,
Tuberculosis,107,,1256,,,
