"",E Week24,"Cumulative first24Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,19,5,5
Acute Hepatitis E,1,0,0,29,11,24
Campylobacteriosis,5,14,10,196,391,224
Cholera,0,0,0,0,7,1
Paratyphoid,0,0,0,7,5,7
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,32,34,34,568,662,726
Typhoid,3,3,1,28,36,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,5,7,7
Dengue Fever,270,1253,464,3863,15804,5143
Dengue Haemorrhagic Fever,0,1,1,2,27,25
Japanese Encephalitis^,0,0,0,0,0,4
Leptospirosis^,1,1,1,28,22,15
Malaria,0,0,0,7,7,7
Murine Typhus^,0,0,0,4,5,4
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,20,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,0,0,0,9,10,8
Measles,0,0,0,6,1,10
Melioidosis,3,0,0,19,14,14
Meningococcal Disease,0,0,0,1,1,2
Mpox,0,0,NA,6,0,NA
Mumps,4,6,6,84,52,134
Pertussis,2,0,0,9,0,11
Pneumococcal Disease (invasive),4,0,0,61,18,34
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,1,1,0,20,16,20
Acute hepatitis C,0,0,0,7,11,8
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,0,0,NA,131,1,NA
Other patients tested,1,0,NA,70,4,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,1832,1806,1806,,,
Acute conjunctivitis,46,40,40,,,
Acute Diarrhoea,295,340,340,,,
Chickenpox,4,5,5,,,
"Hand, Foot And Mouth Disease",19,15,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,MAY,,Cumulative 2023,,
HIV/AIDS,23,,94,,,
Legally Notifiable STIs*,335,,1627,,,
Tuberculosis,107,,514,,,
