"",E Week16,"Cumulative first16Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,2018 -2022,2018 -2022,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,15,5,5
Acute Hepatitis E,0,0,0,22,8,17
Campylobacteriosis,15,17,9,134,256,129
Cholera,0,0,0,0,6,1
Paratyphoid,0,0,0,5,4,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,22,38,33,338,399,429
Typhoid,0,1,1,20,15,15
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,4,0,1
Dengue Fever,116,942,134,2724,5647,2565
Dengue Haemorrhagic Fever,0,0,0,2,9,9
Japanese Encephalitis^,0,0,0,0,0,3
Leptospirosis^,1,0,0,19,9,9
Malaria,0,0,1,3,2,7
Murine Typhus^,0,0,0,2,4,3
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,1,0,8,5,5
Measles,1,0,0,4,0,10
Melioidosis,2,0,0,13,11,11
Meningococcal Disease,0,0,0,1,1,2
Mpox,0,0,NA,4,0,NA
Mumps,2,5,5,53,34,100
Pertussis,0,0,1,2,0,10
Pneumococcal Disease (invasive),4,1,1,46,15,31
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,2,1,1,12,11,15
Acute hepatitis C,0,0,0,3,7,7
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,0,0,NA,114,1,NA
Other patients tested,0,1,NA,58,2,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,3025,1467,1467,,,
Acute conjunctivitis,82,37,43,,,
Acute Diarrhoea,371,408,446,,,
Chickenpox,6,4,4,,,
"Hand, Foot And Mouth Disease",22,9,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,MAR,,Cumulative 2023,,
HIV/AIDS,18,,51,,,
Legally Notifiable STIs*,353,,1005,,,
Tuberculosis,111,,319,,,
