"",E Week28,"Cumulative first28Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,1,1,25,8,8
Acute Hepatitis E,1,3,1,34,17,26
Campylobacteriosis,9,7,8,237,431,266
Cholera,0,0,0,0,7,1
Paratyphoid,0,1,0,7,6,7
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,34,33,25,675,780,858
Typhoid,5,0,0,39,39,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,2,1,5,10,10
Dengue Fever,211,918,661,4792,20243,7317
Dengue Haemorrhagic Fever,0,0,0,2,29,29
Japanese Encephalitis,0,0,0,0,0,4
Leptospirosis,4,2,1,37,25,18
Malaria,1,0,0,8,7,8
Murine Typhus,0,0,0,6,5,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,22,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,0,0,0,10,11,9
Measles,0,0,0,6,1,10
Melioidosis,0,1,1,21,16,17
Meningococcal Disease,0,0,0,1,1,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox#,1,2,NA,7,6,NA
Mumps,3,4,5,99,72,160
Pertussis,1,0,0,11,0,11
Pneumococcal Disease (Invasive),2,3,3,71,24,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,20,17,22
Acute Hepatitis C,3,0,0,12,11,10
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2449,3217,3217,,,NA
Acute Conjunctivitis,62,36,40,,,NA
Acute Diarrhoea,400,366,366,,,NA
Chickenpox,6,4,4,,,NA
"Hand, Foot And Mouth Disease",23,24,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,JUNE,,Cumulative 2023,,
HIV/AIDS,10,,104,,,
Legally Notifiable STIs,307,,1934,,,
Tuberculosis,100,,607,,,
