"",E Week25,"Cumulative first25Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,0,0,21,5,5
Acute Hepatitis E,2,0,0,31,11,24
Campylobacteriosis,15,9,8,211,400,240
Cholera,0,0,0,0,7,1
Paratyphoid,0,0,0,7,5,7
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,28,31,37,596,693,767
Typhoid,2,0,0,30,36,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,5,7,7
Dengue Fever,214,1171,430,4077,16975,5573
Dengue Haemorrhagic Fever,0,1,2,2,28,27
Japanese Encephalitis^,0,0,0,0,0,4
Leptospirosis^,2,0,0,30,22,16
Malaria,0,0,0,7,7,7
Murine Typhus^,2,0,0,6,5,4
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,21,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,0,0,0,9,10,9
Measles,0,0,0,6,1,10
Melioidosis,1,0,0,20,14,14
Meningococcal Disease,0,0,0,1,1,2
Mpox,0,1,NA,6,1,NA
Mumps,0,5,5,84,57,138
Pertussis,0,0,0,9,0,11
Pneumococcal Disease (invasive),3,1,1,64,19,34
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,0,0,0,20,16,20
Acute hepatitis C,0,0,0,8,11,8
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,0,0,NA,131,1,NA
Other patients tested,0,0,NA,70,4,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,1885,2093,2093,,,
Acute conjunctivitis,49,39,40,,,
Acute Diarrhoea,304,352,352,,,
Chickenpox,3,6,6,,,
"Hand, Foot And Mouth Disease",19,16,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,MAY,,Cumulative 2023,,
HIV/AIDS,23,,94,,,
Legally Notifiable STIs*,335,,1627,,,
Tuberculosis,107,,514,,,
