"",E Week35,"Cumulative first35Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,2018 -2022,2018 -2022,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,0,0,30,14,14
Acute Hepatitis E,0,0,0,40,22,30
Campylobacteriosis,11,2,9,287,463,332
Cholera,0,0,0,0,7,2
Paratyphoid,0,0,0,8,6,9
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,20,39,27,868,947,1061
Typhoid,0,3,1,45,56,28
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,2,0,0,8,14,10
Dengue Fever,214,577,412,6164,26060,11088
Dengue Haemorrhagic Fever,0,4,1,4,37,37
Japanese Encephalitis,0,0,0,0,0,5
Leptospirosis,2,3,0,44,36,22
Malaria,2,0,0,15,10,12
Murine Typhus,0,0,0,8,7,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,24,1,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,0,1,1,13,15,13
Measles,0,0,0,6,2,10
Melioidosis,0,1,1,24,19,22
Meningococcal Disease,0,0,0,3,2,5
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,7,16,NA
Mumps,4,3,4,115,108,194
Pertussis,0,0,0,13,0,11
Pneumococcal Disease (Invasive),3,1,1,90,33,38
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,0,24,22,28
Acute Hepatitis C,0,0,0,12,12,11
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2426,1998,1998,,,NA
Acute Conjunctivitis,63,44,48,,,NA
Acute Diarrhoea,392,357,357,,,NA
Chickenpox,4,3,3,,,NA
"Hand, Foot And Mouth Disease",21,31,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,JULY,,Cumulative 2023,,
HIV/AIDS,21,,125,,,
Legally Notifiable STIs,286,,2220,,,
Tuberculosis,112,,708,,,
