"",E Week52,"Cumulative first52Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,1,42,27,27
Acute Hepatitis E,1,1,1,53,38,50
Campylobacteriosis,4,7,8,435,581,488
Cholera,0,0,0,0,7,2
Paratyphoid,0,2,0,9,12,12
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,18,27,28,1265,1277,1558
Typhoid,1,1,0,55,69,43
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,2,0,13,30,15
Dengue Fever,275,283,196,9939,32128,15911
Dengue Haemorrhagic Fever,1,0,0,11,45,45
Japanese Encephalitis,0,0,0,0,0,9
Leptospirosis,1,1,1,62,53,39
Malaria,0,1,1,23,16,16
Murine Typhus,1,0,1,25,9,9
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,30,2,2
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,2,2,2
Legionellosis,0,0,0,26,26,22
Measles,1,0,0,8,4,12
Melioidosis,1,1,1,43,35,40
Meningococcal Disease,0,0,0,3,3,7
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,32,19,NA
Mumps,2,3,3,181,168,279
Pertussis,0,0,0,20,2,11
Pneumococcal Disease (Invasive),3,4,2,142,62,62
Rubella,0,0,0,0,0,1
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,1,31,28,39
Acute Hepatitis C,1,1,0,15,20,0
Botulism,0,0,0,0,0,1
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2467,2336,2336,,,NA
Acute Conjunctivitis,69,64,64,,,NA
Acute Diarrhoea,324,320,320,,,NA
Chickenpox,7,7,7,,,NA
"Hand, Foot And Mouth Disease",16,12,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,NOV,,Cumulative 2023,,
HIV/AIDS,16,,178,,,
Legally Notifiable STIs,334,,3393,,,
Tuberculosis,110,,1138,,,
