"",E Week46,"Cumulative first46Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,2,2,40,20,20
Acute Hepatitis E,2,0,0,48,31,46
Campylobacteriosis,7,7,9,380,524,428
Cholera,0,0,0,0,7,2
Paratyphoid,0,1,0,8,9,9
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,15,30,33,1116,1143,1365
Typhoid,1,0,1,53,66,39
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,2,2,0,13,26,12
Dengue Fever,142,312,312,8726,30453,14234
Dengue Haemorrhagic Fever,1,3,1,8,43,43
Japanese Encephalitis,0,0,0,0,0,8
Leptospirosis,0,3,0,56,46,30
Malaria,0,0,0,20,12,13
Murine Typhus,3,1,0,20,8,8
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,27,2,2
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,1,2,2
Legionellosis,2,0,0,19,26,20
Measles,0,0,0,6,3,12
Melioidosis,0,1,1,36,31,34
Meningococcal Disease,0,0,0,3,3,6
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",2,0,NA,28,19,NA
Mumps,4,2,3,156,154,251
Pertussis,0,0,0,14,0,11
Pneumococcal Disease (Invasive),4,1,1,124,49,49
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,0,28,26,32
Acute Hepatitis C,0,1,1,13,17,16
Botulism,0,0,0,0,0,1
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2500,2184,2184,,,NA
Acute Conjunctivitis,60,46,46,,,NA
Acute Diarrhoea,317,348,348,,,NA
Chickenpox,5,3,4,,,NA
"Hand, Foot And Mouth Disease",12,15,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,OCT,,Cumulative 2023,,
HIV/AIDS,11,,162,,,
Legally Notifiable STIs,279,,3059,,,
Tuberculosis,106,,1028,,,
