"",E Week34,"Cumulative first34Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,27,14,14
Acute Hepatitis E,1,2,1,39,22,28
Campylobacteriosis,8,3,7,276,461,325
Cholera,0,0,0,0,7,2
Paratyphoid,0,0,0,8,6,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,22,26,35,848,908,1039
Typhoid,1,3,2,45,53,28
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,6,14,10
Dengue Fever,198,661,474,5952,25483,10676
Dengue Haemorrhagic Fever,1,1,1,4,33,33
Japanese Encephalitis,0,0,0,0,0,5
Leptospirosis,0,1,1,42,33,22
Malaria,0,1,0,13,10,10
Murine Typhus,1,0,0,8,7,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,24,1,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,2,1,0,13,14,12
Measles,0,0,0,6,2,10
Melioidosis,0,0,0,24,18,21
Meningococcal Disease,0,0,0,3,2,5
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,7,16,NA
Mumps,3,3,5,111,105,190
Pertussis,0,0,0,13,0,11
Pneumococcal Disease (Invasive),1,1,1,87,32,38
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,1,23,21,26
Acute Hepatitis C,1,1,0,12,12,11
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2452,2121,2121,,,NA
Acute Conjunctivitis,70,47,47,,,NA
Acute Diarrhoea,375,399,399,,,NA
Chickenpox,6,3,4,,,NA
"Hand, Foot And Mouth Disease",13,25,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,JULY,,Cumulative 2023,,
HIV/AIDS,21,,125,,,
Legally Notifiable STIs,286,,2220,,,
Tuberculosis,112,,708,,,
