"",E Week8,"Cumulative first8Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,1,8,1,5
Acute Hepatitis E,1,0,1,13,4,9
Campylobacteriosis,11,13,9,72,119,73
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,5,2,3
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,20,21,21,178,155,185
Typhoid,1,0,0,16,8,8
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,2,0,0,4,0,0
Dengue Fever,142,200,181,1748,1326,1326
Dengue Haemorrhagic Fever,0,1,1,2,7,7
Japanese Encephalitis^,0,0,0,0,0,2
Leptospirosis^,1,0,1,10,6,6
Malaria,0,0,0,2,1,4
Murine Typhus^,0,0,0,1,4,2
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,2,1,0,6,4,2
Measles,1,0,0,3,0,7
Melioidosis,0,1,1,4,7,7
Meningococcal Disease,0,0,0,1,1,1
Mpox,0,0,NA,2,0,NA
Mumps,4,5,8,29,17,64
Pertussis,0,0,0,2,0,4
Pneumococcal Disease (invasive),3,1,1,23,4,20
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,0,1,0,5,5,6
Acute hepatitis C,0,0,0,0,2,2
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,7,0,NA,75,1,NA
Other patients tested,2,0,NA,24,1,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,2694,3247,3063,,,
Acute conjunctivitis,76,37,83,,,
Acute Diarrhoea,385,293,407,,,
Chickenpox,5,2,9,,,
"Hand, Foot And Mouth Disease",22,9,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,Jan,,Cumulative 2023,,
HIV/AIDS,13,,13,,,
Legally Notifiable STIs*,272,,272,,,
Tuberculosis,106,,106,,,
